time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m
2022-01-01T00:00,7.4,88,0.0,7.8
2022-01-01T01:00,7.0,90,0.0,7.3
2022-01-01T02:00,6.6,90,0.0,7.4
2022-01-01T03:00,6.3,91,0.0,7.8
2022-01-01T04:00,6.0,92,0.0,8.1
2022-01-01T05:00,5.6,95,0.0,9.1
2022-01-01T06:00,5.5,95,0.0,8.3
2022-01-01T07:00,5.2,95,0.0,8.0
2022-01-01T08:00,7.1,90,0.0,6.1
2022-01-01T09:00,9.9,82,0.0,5.2
2022-01-01T10:00,12.7,73,0.0,6.2
2022-01-01T11:00,15.0,65,0.0,7.3
2022-01-01T12:00,16.5,58,0.0,7.8
2022-01-01T13:00,17.4,52,0.0,6.9
2022-01-01T14:00,18.0,50,0.0,7.2
2022-01-01T15:00,18.1,48,0.0,7.2
2022-01-01T16:00,17.5,52,0.0,6.3
2022-01-01T17:00,15.3,70,0.0,5.4
2022-01-01T18:00,13.7,77,0.0,6.8
2022-01-01T19:00,12.7,77,0.0,8.3
2022-01-01T20:00,11.6,80,0.0,8.6
2022-01-01T21:00,10.5,84,0.0,8.6
2022-01-01T22:00,9.4,88,0.0,7.2
2022-01-01T23:00,9.0,88,0.0,6.4
2022-01-02T00:00,8.3,90,0.0,6.8
2022-01-02T01:00,7.7,91,0.0,6.6
2022-01-02T02:00,7.3,92,0.0,6.7
2022-01-02T03:00,7.0,92,0.0,7.1
2022-01-02T04:00,6.8,93,0.0,6.8
2022-01-02T05:00,6.6,95,0.0,7.9
2022-01-02T06:00,6.3,96,0.0,7.5
2022-01-02T07:00,6.4,96,0.0,7.3
2022-01-02T08:00,8.3,90,0.0,5.8
2022-01-02T09:00,11.0,83,0.0,4.7
2022-01-02T10:00,13.7,75,0.0,4.7
2022-01-02T11:00,15.9,67,0.0,5.8
2022-01-02T12:00,17.3,60,0.0,6.8
2022-01-02T13:00,18.2,56,0.0,7.4
2022-01-02T14:00,18.7,52,0.0,8.1
2022-01-02T15:00,18.8,51,0.0,7.9
2022-01-02T16:00,18.2,53,0.0,6.3
2022-01-02T17:00,15.6,74,0.0,8.2
2022-01-02T18:00,14.4,76,0.0,9.5
2022-01-02T19:00,13.4,78,0.0,10.2
2022-01-02T20:00,12.3,81,0.0,9.8
2022-01-02T21:00,11.2,85,0.0,8.7
2022-01-02T22:00,10.3,87,0.0,8.2
2022-01-02T23:00,9.5,89,0.0,7.7
2022-01-03T00:00,8.9,89,0.0,6.6
2022-01-03T01:00,8.5,89,0.0,6.4
2022-01-03T02:00,7.9,91,0.0,7.3
2022-01-03T03:00,7.6,91,0.0,8.1
2022-01-03T04:00,7.3,92,0.0,7.7
2022-01-03T05:00,7.0,94,0.0,8.6
2022-01-03T06:00,7.1,93,0.0,8.6
2022-01-03T07:00,7.2,93,0.0,8.0
2022-01-03T08:00,8.7,88,0.0,5.9
2022-01-03T09:00,11.3,80,0.0,5.1
2022-01-03T10:00,14.0,71,0.0,6.3
2022-01-03T11:00,16.4,63,0.0,7.4
2022-01-03T12:00,18.2,55,0.0,8.0
2022-01-03T13:00,19.4,50,0.0,9.2
2022-01-03T14:00,20.0,48,0.0,9.3
2022-01-03T15:00,20.1,47,0.0,10.7
2022-01-03T16:00,19.3,53,0.0,8.8
2022-01-03T17:00,16.4,69,0.0,9.1
2022-01-03T18:00,15.4,72,0.0,9.7
2022-01-03T19:00,14.0,77,0.0,9.4
2022-01-03T20:00,12.9,81,0.0,9.1
2022-01-03T21:00,11.8,86,0.0,8.0
2022-01-03T22:00,11.1,87,0.0,8.6
2022-01-03T23:00,10.4,89,0.0,9.0
2022-01-04T00:00,9.8,89,0.0,8.4
