time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m
2022-01-01T00:00,22.6,74,0.0,7.4
2022-01-01T01:00,21.7,78,0.0,7.1
2022-01-01T02:00,21.5,77,0.0,10.5
2022-01-01T03:00,21.4,73,0.0,10.6
2022-01-01T04:00,20.9,73,0.0,9.8
2022-01-01T05:00,20.7,73,0.0,10.7
2022-01-01T06:00,20.5,73,0.0,9.8
2022-01-01T07:00,20.6,74,0.0,11.1
2022-01-01T08:00,21.7,73,0.0,13.5
2022-01-01T09:00,24.6,65,0.0,12.3
2022-01-01T10:00,27.2,53,0.0,12.1
2022-01-01T11:00,29.2,49,0.0,11.2
2022-01-01T12:00,30.8,43,0.0,9.2
2022-01-01T13:00,31.4,39,0.0,4.9
2022-01-01T14:00,31.3,39,0.0,4.0
2022-01-01T15:00,30.1,49,0.0,11.1
2022-01-01T16:00,28.7,60,0.0,12.6
2022-01-01T17:00,26.7,72,0.0,13.6
2022-01-01T18:00,25.3,71,0.0,13.0
2022-01-01T19:00,24.7,71,0.0,13.9
2022-01-01T20:00,24.6,66,0.0,13.8
2022-01-01T21:00,24.3,66,0.0,13.1
2022-01-01T22:00,23.7,67,0.0,11.6
2022-01-01T23:00,23.2,67,0.0,9.3
2022-01-02T00:00,22.5,69,0.0,7.4
2022-01-02T01:00,21.7,73,0.0,7.1
2022-01-02T02:00,21.5,72,0.0,6.8
2022-01-02T03:00,21.3,71,0.0,7.4
2022-01-02T04:00,20.9,72,0.0,8.0
2022-01-02T05:00,21.0,74,0.0,9.7
2022-01-02T06:00,20.8,75,0.0,9.0
2022-01-02T07:00,20.6,77,0.0,6.6
2022-01-02T08:00,22.4,70,0.0,8.6
2022-01-02T09:00,25.0,64,0.0,7.8
2022-01-02T10:00,27.4,56,0.0,7.9
2022-01-02T11:00,29.2,51,0.0,7.5
2022-01-02T12:00,30.4,46,0.0,5.7
2022-01-02T13:00,30.7,44,0.0,4.1
2022-01-02T14:00,30.4,47,0.0,9.3
2022-01-02T15:00,29.3,55,0.0,11.9
2022-01-02T16:00,28.4,59,0.0,10.3
2022-01-02T17:00,26.6,68,0.0,12.3
2022-01-02T18:00,25.4,67,0.0,13.5
2022-01-02T19:00,25.0,68,0.0,12.9
2022-01-02T20:00,24.7,71,0.0,13.1
2022-01-02T21:00,24.5,68,0.0,14.1
2022-01-02T22:00,24.0,67,0.0,11.5
2022-01-02T23:00,23.3,70,0.0,9.0
2022-01-03T00:00,23.0,71,0.0,8.3
2022-01-03T01:00,22.2,75,0.0,6.0
2022-01-03T02:00,21.6,79,0.0,5.2
2022-01-03T03:00,21.5,79,0.0,6.1
2022-01-03T04:00,21.6,78,0.0,8.1
2022-01-03T05:00,22.3,75,0.0,9.8
2022-01-03T06:00,22.0,76,0.0,8.7
2022-01-03T07:00,22.1,77,0.0,8.7
2022-01-03T08:00,23.4,71,0.0,10.4
2022-01-03T09:00,25.7,64,0.0,9.6
2022-01-03T10:00,28.0,51,0.0,9.7
2022-01-03T11:00,30.0,46,0.0,8.7
2022-01-03T12:00,31.0,41,0.0,6.5
2022-01-03T13:00,30.8,43,0.0,8.6
2022-01-03T14:00,29.7,53,0.0,13.3
2022-01-03T15:00,29.0,57,0.0,13.8
2022-01-03T16:00,28.3,56,0.0,12.7
2022-01-03T17:00,26.9,64,0.0,10.4
2022-01-03T18:00,25.8,72,0.0,11.2
2022-01-03T19:00,25.0,74,0.0,11.0
2022-01-03T20:00,24.4,76,0.0,9.2
2022-01-03T21:00,23.8,79,0.0,6.8
2022-01-03T22:00,23.3,80,0.0,7.5
2022-01-03T23:00,22.2,84,0.0,6.6
2022-01-04T00:00,22.2,83,0.0,6.6
2022-01-04T01:00,21.5,88,0.0,6.8
2022-01-04T02:00,21.1,90,0.0,6.6
2022-01-04T03:00,20.5,92,0.0,8.4
2022-01-04T04:00,20.6,91,0.0,6.9
2022-01-04T05:00,21.4,85,0.0,5.9
2022-01-04T06:00,21.0,85,0.0,6.1
2022-01-04T07:00,20.9,86,0.0,6.2
2022-01-04T08:00,22.2,81,0.0,9.6
2022-01-04T09:00,24.6,73,0.0,7.8
2022-01-04T10:00,27.5,59,0.0,7.2
2022-01-04T11:00,29.6,48,0.0,7.3
2022-01-04T12:00,30.9,41,0.0,5.6
2022-01-04T13:00,31.4,38,0.0,2.3
2022-01-04T14:00,31.0,43,0.0,8.8
2022-01-04T15:00,29.5,58,0.0,13.3
2022-01-04T16:00,28.2,61,0.0,14.6
2022-01-04T17:00,26.9,65,0.0,13.1
2022-01-04T18:00,25.6,77,0.0,13.9
2022-01-04T19:00,25.1,80,0.0,15.1
2022-01-04T20:00,24.8,80,0.0,12.7
2022-01-04T21:00,23.9,81,0.0,6.1
2022-01-04T22:00,22.7,83,0.0,8.4
2022-01-04T23:00,23.5,78,0.0,6.0
2022-01-05T00:00,24.0,76,0.0,5.2
2022-01-05T01:00,21.8,88,0.0,8.4
2022-01-05T02:00,21.5,89,0.0,8.0
2022-01-05T03:00,21.0,90,0.0,7.5
2022-01-05T04:00,20.6,91,0.0,7.9
2022-01-05T05:00,21.2,91,0.0,6.5
2022-01-05T06:00,20.8,93,0.0,5.3
2022-01-05T07:00,20.5,95,0.0,5.4
2022-01-05T08:00,22.7,84,0.0,3.6
2022-01-05T09:00,24.7,75,0.0,1.6
2022-01-05T10:00,26.5,65,0.0,1.8
2022-01-05T11:00,27.8,59,0.0,3.6
2022-01-05T12:00,28.6,57,0.0,7.2
2022-01-05T13:00,28.5,60,0.0,10.5
2022-01-05T14:00,28.1,63,0.0,12.7
2022-01-05T15:00,27.7,64,0.0,15.5
2022-01-05T16:00,27.0,69,0.0,17.3
2022-01-05T17:00,26.2,73,0.0,11.7
2022-01-05T18:00,24.9,83,0.0,11.2
2022-01-05T19:00,24.5,88,0.0,12.7
2022-01-05T20:00,24.2,88,0.0,11.8
2022-01-05T21:00,23.6,92,0.0,6.6
2022-01-05T22:00,22.7,96,0.0,4.9
2022-01-05T23:00,22.5,95,0.0,5.9
2022-01-06T00:00,22.1,93,0.0,6.0
2022-01-06T01:00,21.6,93,0.0,5.2
2022-01-06T02:00,21.2,94,0.0,5.2
2022-01-06T03:00,20.6,95,0.0,7.1
2022-01-06T04:00,20.6,94,0.0,7.3
2022-01-06T05:00,21.0,98,0.0,5.2
2022-01-06T06:00,20.8,96,0.0,4.3
2022-01-06T07:00,21.0,95,0.0,3.4
2022-01-06T08:00,21.9,91,0.0,5.3
2022-01-06T09:00,23.8,79,0.0,6.7
2022-01-06T10:00,26.0,67,0.0,5.5
2022-01-06T11:00,27.5,58,0.0,6.3
2022-01-06T12:00,28.0,58,0.0,9.2
2022-01-06T13:00,27.7,62,0.0,13.2
2022-01-06T14:00,27.3,63,0.0,13.9
2022-01-06T15:00,27.0,66,0.0,14.9
2022-01-06T16:00,26.4,68,0.0,15.0
2022-01-06T17:00,25.3,74,0.0,16.5
2022-01-06T18:00,24.0,83,0.0,15.6
2022-01-06T19:00,23.6,83,0.0,16.3
2022-01-06T20:00,23.4,79,0.0,15.4
2022-01-06T21:00,22.8,79,0.0,12.3
2022-01-06T22:00,22.2,80,0.0,8.6
2022-01-06T23:00,21.6,82,0.0,5.8
2022-01-07T00:00,20.8,86,0.0,4.9
2022-01-07T01:00,20.2,91,0.0,6.3
2022-01-07T02:00,19.7,92,0.0,6.6
2022-01-07T03:00,20.1,89,0.0,5.5
2022-01-07T04:00,20.9,86,0.0,4.9
2022-01-07T05:00,20.1,93,0.0,5.1
2022-01-07T06:00,20.1,92,0.0,4.7
2022-01-07T07:00,19.7,95,0.0,4.2
2022-01-07T08:00,21.5,87,0.0,3.1
2022-01-07T09:00,23.5,76,0.0,1.1
2022-01-07T10:00,25.5,67,0.0,2.1
2022-01-07T11:00,26.9,60,0.0,5.2
2022-01-07T12:00,27.5,57,0.0,7.8
2022-01-07T13:00,27.3,59,0.0,13.0
2022-01-07T14:00,27.1,62,0.0,14.8
2022-01-07T15:00,26.8,63,0.0,15.5
2022-01-07T16:00,26.2,65,0.0,15.2
2022-01-07T17:00,25.7,69,0.0,13.0
2022-01-07T18:00,24.7,76,0.0,8.0
2022-01-07T19:00,24.2,80,0.0,6.1
2022-01-07T20:00,23.3,86,0.0,5.2
2022-01-07T21:00,22.9,89,0.0,5.1
2022-01-07T22:00,22.6,91,0.0,5.1
2022-01-07T23:00,22.1,94,0.0,5.1
2022-01-08T00:00,22.0,96,0.0,4.3
2022-01-08T01:00,21.8,97,0.0,5.6
2022-01-08T02:00,21.4,98,0.1,3.9
2022-01-08T03:00,21.2,98,0.1,2.8
2022-01-08T04:00,21.3,95,0.4,8.7
2022-01-08T05:00,21.4,90,0.1,12.1
2022-01-08T06:00,21.1,90,0.0,9.0
2022-01-08T07:00,21.2,90,0.0,8.8
2022-01-08T08:00,22.0,88,0.1,9.8
